engine_temp_C,vibration_ms2,battery_voltage_V,engine_load_pct,rpm,oil_pressure_psi,coolant_temp_C,vehicle_age_years,mileage_km,failure
132.93,1.684,10.57,50.7,3847,20.7,119.39,13.8,130297,1
144.82,1.143,11.44,98.1,3181,29.4,134.09,11.3,174007,1
101.29,1.406,11.83,100,1416,30.9,106.19,5.7,70041,1
93.23,0.472,12.51,40.1,2791,39.7,85.79,8.6,152982,0
72.79,0.639,13.25,73.3,2443,33.8,89.24,13.7,199457,0
87.09,0.619,13.35,55.7,2857,31.2,82.2,3.8,35071,1
65.4,0.331,13.34,35,2559,39.4,97.83,7.4,125514,1
126.26,1.666,12.48,63.9,3976,23,119.37,3.7,43295,0
86.97,0.438,14.49,55.2,1891,40.5,90.98,6.6,84709,0
92.38,0.45,13.56,48.9,2360,48.2,94.96,1.3,23266,0
86.71,0.231,13.39,35.3,2471,40.2,89.43,13.2,122477,0
83.84,0.383,13.37,29.6,1431,50.1,83.46,14.7,289776,0
81.99,0.319,13.56,42.3,2066,42.2,89.5,8.7,143443,0
70.21,0.483,13.09,57.9,2175,35.1,83.15,8.5,87996,0
77.8,0.507,13.56,54.9,2879,42.8,90.86,14.4,124891,0
80.39,0.193,13.73,47.5,2217,59.7,97.98,6.2,90143,0
95.57,0.398,13.6,58,2173,59.3,80.6,9.5,119308,0
88.44,0.512,13.73,70.6,2827,48.9,77.74,12.6,105598,0
67.37,0.381,13.72,60.9,1853,43.9,90.39,7.8,119933,0
136.56,1.549,11.42,79.3,500,24,108.79,3.7,43446,1
81.15,0.435,13.82,68.9,2355,47.5,90.25,12.3,145737,0
78.23,0.434,13.16,40.6,1921,44.7,92.56,4.4,44076,0
91.12,0.373,12.95,51.6,1936,48.5,72.85,12.7,123330,1
95.31,0.278,12.95,52,2729,46.7,95.52,14.2,138166,0
138.84,0.778,10.55,70.6,2334,17.4,115.94,8.4,156845,1
76.61,0.471,13.39,48.7,2816,35.4,89.82,1.2,17490,0
81.91,0.402,12.66,23.9,2944,41.3,84.72,14.4,195723,0
146.33,1.323,11.18,100,1501,25.3,118.13,12.6,206562,1
94.76,0.358,12.78,40.9,1649,44.7,103.55,2.2,26062,0
80.21,0.369,13.57,78.8,2680,47.4,92.55,9.6,171987,0
83.14,0.505,13.62,55.6,2288,42.7,97.24,5.1,52623,0
73.94,0.366,13.94,63.5,2201,36.5,91.21,5.3,93269,0
73.04,0.266,14.39,47.7,2724,43.1,94.96,8.9,77311,0
93.13,0.474,12.82,58.1,1808,36.8,93.34,10.8,106946,0
129.55,1.057,12,93.4,2338,22.6,117.29,0.7,12404,1
136,1.563,10.5,97.8,3970,25,129.89,2.7,25260,1
95.04,0.561,13.72,66.6,2695,41.6,91.25,13.6,148772,0
88.62,0.398,13.61,49.5,2555,39.1,108.28,7.7,65353,0
78.55,0.429,13.32,47.8,2148,57.9,97.68,7.6,115887,0
88.61,0.282,13.28,31.1,2798,51.5,80.88,12.7,151359,0
100.38,0.378,12.94,62.8,2772,42,88.59,2.4,37069,0
84.64,0.461,13.99,71.2,2534,48.4,93.18,10.8,97952,0
123.48,1.152,12.39,100,564,15.5,112.67,7.8,99895,1
60,,13.96,59.6,2330,39.5,95.49,11.3,140214,0
121.97,0.809,12.11,78.9,3425,38,133.16,10.3,149466,1
125.86,1.458,10.61,58.8,1964,20.9,105.3,10.2,117297,1
82.01,0.504,12.96,70.6,2369,45.6,100.25,12.9,255889,0
140.86,0.962,10.98,57.9,3747,26.2,116.31,8.5,100074,1
65.12,0.548,12.98,49.9,2435,52.3,85.23,6.4,104907,0
82.8,0.301,14.42,51.6,2610,40.6,85.21,3.4,41875,0
88.57,0.414,12.85,54,2268,48.9,96.47,5.5,79042,1
99.78,0.408,13.64,55.5,1342,36,87.86,13.1,140582,0
79.82,0.293,14.28,57.1,2977,48.6,84.69,5.4,54330,0
100.19,1.115,11.9,56,2303,32.7,109.94,14.8,290873,1
79.98,0.632,13.59,55.2,2255,48,75.64,9.3,134998,0
114.75,0.843,9.59,56.2,2653,22,106.16,12.3,166646,1
128.59,0.974,9.33,100,3239,51.4,115.53,7.7,120132,1
124.98,0.83,12.45,79.8,3448,27.4,108.33,10,106719,1
90.13,0.329,14.25,22.6,2898,52.8,95.31,14.8,265243,0
108.9,1.01,11.8,76,3950,13.6,113.16,7.8,85129,1
94.69,0.329,12.93,46.4,2183,49,100.05,4.3,62666,0
113.04,1.261,9.19,100,1055,32.4,125.65,9.9,94530,1
81.72,0.57,13.01,57.9,2846,45.4,85.77,13.8,206059,0
81.08,0.388,13.44,60.2,2740,41,90.15,0.7,10338,0
70.36,0.365,14.3,72.7,2924,46.1,89.74,14.9,169289,0
87.96,0.489,13.84,53.6,2113,47.1,72.79,8.4,98151,0
121.64,1.118,10.54,97.9,2143,29.5,105.13,12.1,98159,1
85.05,0.323,13.3,65.3,1803,38,88.66,2.2,18440,0
82.65,0.407,13.21,35.7,2784,40.6,88.62,4.7,71896,0
70.85,0.503,14.2,77.1,1736,47.3,94.1,14.7,243803,0
80.79,0.45,13.6,33.7,2184,43,93.71,4.7,68076,0
81.57,0.425,12.45,68.8,3124,44.2,75.83,6.5,58184,0
76.98,0.408,13.16,32.2,2833,53.6,94.15,4.6,88161,0
83.39,0.44,13.07,64,2282,22.4,91.43,7.3,120777,1
143.63,1.405,12.06,100,3694,25.6,117.35,2.8,30444,1
103.86,0.297,13.78,51.8,2540,31.1,98.53,7.9,126508,0
86.75,0.405,13.45,51.2,2706,35.4,88.86,4.8,45076,0
87.58,0.293,13.46,64.2,3001,64.2,99.96,12.3,213773,0
137.69,0.754,10.92,72.7,3122,26.7,118.71,6.2,84714,1
65.81,0.352,13.15,82.3,1855,52.6,82.43,12,154877,0
120.28,1.69,13.24,81.2,1260,17.6,127.74,9.8,79520,1
134.02,1.25,11.97,88,1297,38.6,121.86,13.8,217957,1
139.45,1.308,12.33,80.4,1417,10,113.75,12.3,219936,1
83.08,0.387,13.36,41,2619,53.3,105.94,13.6,155463,0
88.02,0.452,13.56,45.6,2415,38.4,93.15,8.1,66121,0
84.65,0.567,13.72,49.7,2623,40.7,91.7,13.7,237840,0
73.31,0.341,13.72,47.7,2142,49,83.05,2.7,42879,0
96.43,0.242,13.12,45.1,2695,47.5,76.4,1.7,29871,0
92.52,0.482,12.94,86.5,1973,45.7,89.42,8.1,117519,1
92.91,0.262,14.75,39.5,2169,34.1,98.53,12.5,168840,0
75.91,0.356,13.26,57.2,2403,45.8,87.42,3.6,38027,0
157.44,1.349,12.21,87.6,2431,33.7,129.87,14.5,130120,1
70.98,0.393,12.7,64.5,2814,40.7,101.41,3.2,43512,0
130.07,1.207,10.16,93.2,2411,39.8,124.41,10.8,198505,1
106.9,0.332,13.44,51.4,3067,38,93.43,13.8,119960,0
75.09,0.373,13.74,61.8,3941,45.1,91.36,14.5,288057,0
79.34,0.399,12.14,59,2517,57.3,77.85,10.1,195391,0
125.41,0.883,10.97,78.7,1711,24.5,112.18,8.8,138470,1
79.97,0.41,12.93,31.6,2905,53.4,87.75,1.8,34479,0
69.49,0.444,13.66,48,2898,60.8,83.18,0.8,11527,0
85.69,0.484,12.98,37.8,3210,46.4,91.99,14.8,190171,0
95.62,1.467,12.07,70,1212,15.5,135.39,4.5,66549,1
89.74,0.445,13.36,55.5,2301,38.8,102.14,1.5,28657,1
107.1,1.432,11.01,88.7,2096,36.1,117.06,8.3,161924,1
135.48,1.027,10.34,100,1667,33.7,133.01,5,90875,1
120.39,1.37,9.7,74.7,3374,28.3,109.24,5.7,57739,1
125.5,1.16,9.23,92.2,4172,22.6,140,5.6,85011,1
93.14,0.331,14.01,59.6,2309,53.3,77.5,4.1,54762,0
72.69,0.334,12.85,74.4,2378,44.6,97.3,14.5,200172,0
87.27,0.343,13.41,63.6,2570,37.9,93.96,4.3,57098,0
156.59,0.868,10.85,72.9,1743,32.3,123.54,8.6,75571,1
68.93,0.503,13.19,29.2,1734,58.1,88.33,4,71878,0
86.85,0.359,13.09,59.7,2268,36.8,80.93,11.5,227942,0
87.6,0.491,13.61,47.1,2775,36.7,81.27,3.8,40182,0
126.94,1.492,12.48,61.3,1963,33.8,95.33,9.4,145550,1
126.76,0.722,11.75,69,2953,33.7,116.96,12.6,181820,1
71.8,0.379,13.42,57.4,2036,35.9,99.64,4.4,83260,0
90.22,0.475,12.63,77.6,2512,46.8,72.71,12.1,199809,0
146.85,1.134,10.45,88.2,707,20.2,120.81,1.8,31291,1
87.5,0.628,13.52,63.9,2322,50.6,89.9,2.2,42495,0
88.46,0.315,13.07,53.5,1806,38.6,92.32,6.3,100694,0
78.2,0.452,13.27,35.7,3048,51.2,78.22,6.4,86039,0
120.05,1.071,9.33,88.6,3168,19.2,130.21,8,68888,1
141.66,0.919,12.44,70.2,2574,12,125.95,0.8,15922,1
77.86,0.399,14.03,55.3,2945,45.5,99.11,2.2,33147,0
129.24,1.509,10.24,78.8,930,14.3,125.93,0.6,10506,1
141.05,1.184,9.76,100,1391,29.2,137.81,14.3,201680,1
119.36,0.701,10.65,71.8,3184,32.8,102.11,5,64172,1
142.89,0.972,10.65,95.8,3539,19.2,107.06,10.5,147167,1
75.25,0.427,12.75,42.4,2638,24.4,85.11,9.3,80005,1
92.87,0.193,13.42,47.3,2189,,97.16,11,193470,0
96.59,0.391,13.64,10,2799,55.6,92.66,13.3,131626,1
108.02,0.845,11.39,100,3890,25.7,126.54,3.9,46536,1
137.32,1.41,9.69,88.9,3455,30.3,115.71,6.7,60354,1
89.13,0.497,13.75,43.5,2215,52.6,76.18,5.3,93879,0
93.22,0.35,14.26,38.1,2426,41.8,100.81,1.7,16992,1
103.97,0.385,13.56,47.6,2173,47.1,97.61,1,12313,0
82.55,0.323,12.98,65.8,2523,45.2,87.05,11.6,150497,0
77.46,0.287,13.24,26.6,2534,41.2,92.8,2.4,28004,0
76.1,0.431,14.38,52.9,2605,47.4,89.01,0.7,13242,0
76.84,0.273,13.95,81.6,3206,51.2,94.93,6.9,118360,0
84.23,0.359,13.82,38,2447,43.5,87.03,5.2,87546,0
88.41,0.3,13.68,56.2,2902,41.3,93.83,1.5,15609,0
144.67,1.052,11.49,100,3868,22.5,118.26,1.2,12823,1
93.27,0.58,13.4,64.5,2405,26.6,86.54,13.7,150587,0
85.13,0.27,13.46,56.9,2452,47.3,91.52,14.1,178458,0
99.54,0.215,13.77,62.6,2476,35.3,111.65,7.5,102995,0
139.42,1.379,11.92,77.1,3185,23.8,118.51,12.8,140828,1
146.02,1.388,11.7,94.9,2899,15.2,118.83,12.1,163285,1
123.92,0.997,9.85,77.6,603,19.1,114.99,8.9,90898,1
76.43,0.355,13.61,25.6,2762,50.6,85.49,11.4,127843,0
74.29,0.38,13.87,49.1,2859,37.6,96.53,14,155725,1
89.82,0.437,13.81,40.5,2798,48,95.73,8.7,145702,0
82.77,0.504,13.19,50.8,2562,47.1,89.95,7.9,106925,0
92.14,0.204,14.96,51.1,2807,43.5,98.21,0.6,8482,0
89.73,0.363,12.86,73,2785,37.6,96.35,8.4,134042,0
84.27,0.421,12.96,65.4,2815,49.8,88.7,12.4,108987,0
76.53,0.308,13.62,58.9,2156,50.6,77.73,11.6,202573,0
69.85,0.573,14.56,55,2061,45.9,96.64,9.9,112526,0
109.63,1.381,10.52,77.7,1006,,115.46,0.9,12091,1
93.56,0.396,13.37,22.3,2493,40.8,90.18,13.9,167857,0
127.08,1.326,11.5,93.7,3798,22.9,103.68,6.7,116177,0
72.54,0.341,13.49,66.9,1749,50.5,95.96,8.8,94367,0
86.73,0.215,13.33,53.4,3189,32.3,92.79,6.3,122616,0
88.85,0.357,13.78,47,2390,40.5,88.11,5.6,71160,0
76.16,0.503,13.64,62,2569,41.8,80.2,7.9,130723,0
86.54,0.366,14.02,53.8,2998,44.3,98.54,7.7,120448,1
85.58,0.315,14.15,80.3,1562,34.6,94.84,5.7,95852,0
73.57,0.493,13.65,73.5,2295,43.3,92.04,12.2,177632,0
111.62,0.712,12.35,100,1439,24.1,95.81,1.2,15554,1
125.66,0.809,11.58,89.9,3284,18.6,123.3,2.2,22309,1
151.28,1.411,11.2,67.9,3099,30.5,119.95,1.7,24151,1
95.54,0.477,13.53,64.9,3079,40.7,85.05,8.7,75887,0
125.56,1.679,11.76,92.5,3675,22.5,117.59,6.5,56427,1
75.62,0.483,14.1,64.1,2883,37.9,95.72,7.1,108364,0
141.65,1.441,11.94,87,1785,31.9,127.3,8.9,122005,1
90.14,,12.75,61.8,1940,38.5,98.3,5.2,73146,0
90.15,0.297,13.51,95.5,1668,40.2,81.82,3.2,37310,1
123.53,0.406,13.16,53.9,1888,47.4,86.37,4.9,86543,0
143.65,1.279,11.04,100,2031,20.9,125.84,14.9,155305,0
96.36,0.292,13.7,47.9,2513,41.7,85.02,14.3,215190,0
140.36,0.98,10.65,95.2,963,23.6,112.36,14.4,263363,1
91.51,0.44,13.44,69.1,2353,33.4,85.82,0.9,16220,0
81.85,0.436,12.54,60.5,3305,56.2,100.39,1.8,14994,0
92.59,0.45,13.02,80,2171,50.5,82.55,1.2,13195,0
77.27,0.429,13.95,41.7,2871,50.2,107.06,12.3,204298,0
127.76,1.038,9.21,74.5,3109,10,137.83,14.9,251220,1
128.52,0.839,12.01,78.4,1174,10.8,125.14,8.4,115493,1
85.82,,13.76,68.2,2971,42.3,99.17,10.7,111202,1
148.87,1.703,12.56,84.5,1847,10,123.76,5.6,63631,1
66.33,0.401,13.4,74.3,2404,52.1,98.11,11.6,204264,0
141.48,0.964,9.98,84.1,1538,45.5,110.63,10,103195,1
68.87,0.307,13.72,37.9,2646,61.5,79.72,12.1,233893,0
129.58,1.825,11.19,92.2,1218,18.3,81.55,7.8,108586,1
95.89,0.293,13.96,53.8,2582,45.9,87.85,3.3,37775,0
140.56,1.248,12.14,90.1,3458,26.2,124.69,7.4,93772,0
74.22,0.442,13.54,54.6,2378,43,100.64,5,55672,0
77.85,0.46,13.23,49.9,2268,,90.29,10.6,133240,0
91.8,0.496,13.09,53.9,2861,30.1,98.02,2.5,23774,0
77.7,0.581,13.98,55.4,2462,54.1,86.37,5.3,94980,0
136.55,1.149,10.67,83.7,3364,24.9,122.12,0.6,11648,1
110.18,1.243,11.15,85.8,3538,24.7,120,12.3,196089,1
78.48,0.374,12.95,48.9,1220,,70.28,6.4,113230,0
106.44,0.431,12.75,67.8,2302,46.2,90.1,11.8,126210,0
91.34,0.607,13.57,57.9,2515,46.3,86.8,1.9,16764,0
64.75,0.26,14.08,88.9,2446,43.3,100.88,3.3,51390,1
86.86,0.52,13.41,57.4,3292,58,85.77,12.8,228546,0
78.38,0.418,12.75,46.7,2730,43.9,94.13,9.1,164526,0
93.52,0.484,13.92,95.1,2712,58,97.37,0.6,8428,1
77.07,0.39,14.34,61.2,1843,49.5,78.06,13.6,210704,0
,1.458,11.16,90.5,3407,37.1,121.82,14.8,183314,1
110.83,1.306,11.98,92.5,826,31.7,126.08,10.1,181247,1
134.73,0.801,10.92,93.9,1447,26,134.06,11.1,180959,1
73,0.497,14.31,63,2180,45.9,95.4,2.4,24934,0
81.65,0.399,13.24,38.5,1777,37.5,88.13,11.6,131818,0
80.25,0.34,12.83,60.5,1990,37.3,81.62,1.9,19010,0
121.28,1.443,10.98,68.6,3671,29,133.8,13.4,188539,1
,1.308,10.81,73.9,1442,23.2,119.67,7.8,81535,0
138.88,1.079,10.84,79.8,3271,16.6,101.66,2.5,25229,1
72.39,0.303,13.22,60.4,2498,53.5,77.74,1.8,17730,0
94.18,0.346,14,60,2967,47.4,93.5,6.9,77009,0
106.22,0.353,13.76,62.2,2502,39.2,79.79,0.6,10225,0
95.32,0.252,13.12,59.3,2716,56.3,104.88,14.4,278065,0
107.38,0.797,11.94,73.9,901,25.9,115.96,3,59351,1
80.16,0.287,12.82,51.1,2253,53.1,90,6.6,55846,0
97.67,0.359,13.84,68.8,2642,26.9,91.27,9.3,137841,0
77.92,0.326,13.37,71,3257,47.6,84.16,10.3,115163,0
89.44,0.237,13.28,37.8,3072,51.7,72.08,8.7,172638,0
119.3,1.08,11.05,60.7,3736,36.9,113.72,3.1,61210,1
75.73,0.525,13.52,44.1,2561,33.3,83.97,7.3,141017,0
84.4,0.322,13.95,70.7,3060,54.6,90.93,5.2,42305,0
75.02,0.996,10.36,100,1998,32.6,112.61,1.8,17698,1
74.76,0.442,13.42,41.1,1583,28.9,92.11,6.1,89519,0
82.47,,13.88,59.6,2078,48.8,102.49,9.3,95589,0
72.52,0.318,13.7,82.5,2635,49.9,85.63,2,36147,1
101.32,0.509,13.29,61.2,1785,42.4,86.25,2.9,47423,0
98.75,0.998,9.99,100,1388,15.5,100.54,1.8,17876,1
80.6,0.266,13.43,70,2220,50.3,88.44,0.5,9199,0
86.31,0.472,13.75,41.3,2398,40.1,93.28,14.1,196805,0
99.41,0.529,13.32,52.2,2385,43.3,86.13,12.7,209018,0
70.64,0.659,13.3,55.5,2384,51.5,93.33,3.9,37332,0
133.33,1.422,13.38,89.1,4094,32.3,125.92,8.9,126161,1
112.35,1.38,12.76,98.4,3318,25.4,104.74,12.1,209927,1
75.18,0.359,13.12,61.1,2346,46.1,92.5,5.8,70633,0
126.32,1.048,11.58,42.5,3141,,127.48,11.2,114875,1
86.99,0.253,13.56,35.3,2910,36.9,90.98,13.1,205255,0
79,0.274,13.7,22.2,2231,53.9,85.46,7.7,121592,0
85.7,0.322,13.57,57.6,2065,43.8,84.76,13.4,139815,0
81.15,0.408,14.09,58.6,2585,54.2,91.26,3.5,31307,1
113.34,0.728,12.08,91.3,722,31.2,122.07,13.6,135674,1
91.62,0.466,13.47,40.6,2290,39.8,103.79,12.2,137706,0
100.86,0.503,14.02,65.1,2603,48.4,96.39,12.7,106968,0
72.62,0.46,13.62,65.7,2369,44.4,94.36,0.6,10780,0
127.52,1.714,10.45,74.1,2844,10,111.8,10.1,108980,1
65.48,0.442,13.66,33,2470,59.5,73.79,6.3,106422,0
103.87,1.297,10.95,91,4042,26.6,111.72,9.3,120237,1
114.8,1.311,10.58,100,776,34.2,117.36,1.7,24023,1
128.12,1.226,11.34,100,839,23.3,115.48,3.9,56746,1
78.77,0.491,13.12,63.5,2065,34.9,89.73,5.6,96621,0
82.92,0.557,13,44.1,2118,37,95.25,10.9,190560,0
80.07,0.446,12.8,68.3,2666,42.6,92.19,8.5,82577,1
79.11,0.25,13.06,48.2,2914,38.1,99.27,0.7,8289,0
93.5,0.308,13.41,43.5,2638,58.8,87.5,5.4,79652,0
139.72,,10.15,60.9,3012,16.7,123.67,14.1,169057,1
78.07,0.383,13.36,56.5,2248,52.1,92.75,3.1,29815,0
94,0.408,12.32,45.6,2945,49.1,91.97,3.9,50744,0
88.07,0.476,14.29,56.4,3329,47.1,100.26,5,52650,0
93.13,0.47,14.04,20.5,2554,45.3,96.43,4.4,42638,0
91.3,0.428,13.72,57.5,2876,54.9,79.44,2.3,26384,0
76.71,0.379,14.45,18.5,2637,38.4,89.09,5,58371,0
136.69,0.862,12.01,100,1879,41,109.16,8.3,76280,1
,0.486,14.44,62.8,2034,34.7,107.21,10.3,154470,0
91.1,0.455,13.02,50.8,2305,51.3,87.36,9.8,115619,0
127.36,0.903,10.65,83.4,3558,15.9,116.7,2.9,28815,1
123.68,1.695,11.54,71.2,2448,16.9,112.54,9.4,167727,1
137.32,1.277,10.89,87.4,2995,35.2,124.46,5.7,45742,1
79.08,0.315,13.69,66.9,1687,41.1,89.41,12.4,167022,0
90.47,0.324,13.42,10,2301,43.5,88.24,5.8,76077,0
82.98,0.302,13.86,48.3,2904,33.9,97.59,14.7,235353,0
82.82,0.373,13.55,54.7,1866,37.1,83.17,9.4,119313,0
95.99,0.523,13.24,52.1,2029,49,87.27,6.7,95108,0
137.14,1.258,11.36,97.2,1536,19.6,119.95,7.8,147339,1
93.14,0.419,13.91,38.1,2454,39.5,98.75,3.1,30572,0
98.05,0.334,13.17,45.7,2738,55.6,92.28,10.4,96015,0
112.04,0.733,11.32,61.2,2664,10,112.91,14.5,245334,1
91.82,0.249,14.11,77.7,2370,42.1,82.28,8,134759,0
81.9,0.378,12.67,51.3,2978,41,104.99,14.9,283425,0
88.24,0.381,14.07,48.4,2023,49.9,98.67,2.7,53092,0
83.7,0.454,14.53,54.2,3091,45.4,96.73,9.7,122928,0
129.12,1.019,11.41,100,3484,20.1,126.95,10.3,129423,1
90.95,0.28,13.8,60.2,2840,30.2,102.07,5,94656,0
76.82,0.508,14.02,94.7,2351,51.9,81.17,5.6,102598,1
105.92,0.421,13.36,61.8,2042,43.3,96.02,14.2,177692,0
131.58,0.741,11.25,74.1,1131,,123.17,9.4,83567,1
125,1.179,10.87,79.6,3501,19,121.93,11.8,177182,1
96.58,0.348,13.57,49.1,2497,37.8,95.81,11,123769,0
116.42,1.098,11.98,61.1,1761,36.9,112.29,9.4,176919,1
91.24,0.448,13.76,55.6,3074,30.8,86.52,1.2,21104,0
91.28,0.225,14.03,66.8,2027,36.6,86.04,10.1,190168,0
127.26,1.446,10.29,78.8,2984,36.3,89.54,5.5,49351,1
135.81,1.523,11.81,72.3,2546,33,128.47,7.3,134156,1
85.76,0.426,14.45,77.7,2140,42.4,81.95,12.8,194195,0
109.11,1.668,10.11,62.5,3653,27,121.71,14.5,153974,1
94.75,0.323,13.6,24,2724,48.6,87.7,10.6,122738,0
83.53,0.35,13.47,37.7,2282,46.9,100.48,3.9,52081,0
103.2,1.013,11.65,66.4,1410,28.1,93.54,5.1,79313,1
81.79,0.32,14.31,60.8,3062,48.7,95.85,2.5,27010,0
89.13,0.365,13.24,49.6,3263,49,97.91,8.9,93524,0
102.63,1.526,10.65,90.9,3193,34.7,132.59,14,261580,1
76.78,0.295,13.27,72.3,1436,43.4,77.78,12.3,222403,0
87.44,,12.5,44.6,2619,43.7,84.38,8.4,144195,0
87.45,0.23,13.17,66.6,2874,35.1,94.61,14.2,242404,0
128.31,0.699,10.44,100,3373,14.6,128.58,13.5,232137,1
80.29,0.367,13.81,48.2,2791,59.9,92.35,5.7,109488,0
87.32,0.567,13.16,66.1,2643,52.9,87.12,8.5,153548,0
95.32,0.782,12.7,76.6,2783,15.6,140,4.8,60674,1
70.93,0.18,14.2,68.9,2146,45.2,110.87,0.6,8565,1
77.82,0.2,13.89,31.4,2372,34.6,90.83,7,107428,0
116.8,1.08,12.37,63.1,1575,23.5,132.13,11.4,155941,1
120.13,0.967,10.82,86,3414,20.2,106.02,9.7,112111,1
129.33,1.524,9.82,68.3,3720,16.8,117.27,13.9,255553,1
93.58,0.417,13.43,47.2,2621,36.6,96.63,10.4,184242,0
83.4,0.516,13.07,51.7,3134,48.9,81.47,2.5,32307,0
114.83,1.28,12.02,88.3,1505,28.4,105.25,4.4,40962,1
74.97,0.489,14.79,48.9,1798,32.5,81.93,2.3,18675,0
84.81,0.237,13.75,42.6,2759,28.4,111.56,12,109528,1
138.61,1.318,9.02,86.3,1894,21.6,117.94,14.3,140807,1
139.44,0.656,11.47,83.4,3329,10,104.92,3.8,60091,1
76.73,0.373,13.56,41,2185,30,84.6,11.6,123371,0
90.19,0.395,13.54,30.8,2067,54,96.44,6.8,106772,0
100.33,0.411,13.13,56,2119,44.2,97.24,5.7,67468,0
114.59,0.861,12.3,68.9,2354,18.2,114.79,14.8,277546,1
89.02,0.307,12.88,69.5,2369,43.5,86.6,5.5,75167,0
137.79,1.278,10.25,66.9,2739,18.9,122.68,10.1,162107,1
80.99,0.25,13.82,46.9,2437,48.3,90.89,10.8,146620,0
123.29,1.606,11.12,100,1779,17.6,107.77,11.7,221890,1
85.13,0.37,13.77,40.9,3127,38.9,82.59,13,211222,0
85.98,0.351,12.82,51.5,2094,40.1,93.3,8.7,136794,0
77.27,0.559,14.38,36.8,2972,,91.57,9.3,139953,0
132.18,1.086,10.69,64.3,1255,13.8,118.61,10.8,214752,0
89.98,0.287,13.39,78.2,2983,43.1,96.33,2.7,43119,0
155.45,0.74,10.3,80.6,1718,26.9,124.23,3.4,57981,1
,0.85,11.51,90.8,3627,25.1,99.05,11.6,104017,1
106.53,0.443,13.57,29.6,2374,44.4,95.04,2.5,43662,0
77.33,0.474,13.79,60.4,2526,46.8,95.99,10.5,158925,0
93.72,0.657,13.98,72.4,2462,52.5,87.5,1,11679,0
86.83,0.175,13.9,72.2,1837,49.7,90.97,5.4,80810,0
106.9,0.461,13.41,65,3121,52.6,87.71,10.1,156656,0
119.91,1.363,12.03,74.9,3302,24.5,123.01,10.7,119535,1
128.18,0.642,11.49,90.6,1532,14.3,127.1,9.6,127636,1
110.41,1.235,12.35,88.1,500,29.1,133.09,6.9,114966,1
63.76,0.309,13.04,28.1,1569,50.4,87.89,4.2,44905,0
79.74,0.568,13.55,38.2,2808,39.6,86.16,9.4,169385,0
77.41,0.484,13.33,68.3,2252,49.9,79.58,3.2,28417,0
86.5,0.402,13.43,68.1,2318,37.5,98.8,1.4,20573,0
128.84,1.277,10.22,67.1,1526,29.2,134.41,0.8,9847,1
103.76,0.249,13.29,66.9,2294,44.8,87.59,4.4,37861,0
119.05,0.685,11.85,79.5,3603,10,117.01,0.9,16161,0
131.53,1.183,11.11,100,1298,14.8,111.18,4.1,59887,1
76.02,0.33,12.25,45.5,2466,62.5,86.02,4.7,77884,0
126.12,1.581,11.32,100,3219,27,118.77,5.5,69107,1
71.8,0.41,14.04,67.7,2172,63.4,79.89,10.8,198639,0
103.31,0.415,13.32,49.7,2741,33.4,91.74,6.9,62122,0
